SeaWEED ID,Source,Species common name,Species scientific name,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Experimental,Polyculture_IAA,Yield_t_per_Ha,Yield_kg_per_m3,Grow_out_period_days,m2a_t,m3a_t,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes
135,Chang-2017-a,Whiteleg shrimp,Penaeus vannamei,,1 kg of shrimp at consumer level (including head and shell),Ecological farm,,Shrimp harvested in an ecological farm,,,,,,,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
136,Jonell-2015-a,Giant tiger prawn,Penaeus monodon,,1 tonne live weight,Extensive pond polyculture,,Shrimp harvested in mangrove polyculture system with no organic certification,Vietnam,Mekong Delta,2011-2012,21 farms,,Extensive,,Polyculture,0,,,,,,,,,,,,,,,,,,,,,
137,Jonell-2015-a,Giant tiger prawn,Penaeus monodon,,1 tonne live weight,Extensive pond polyculture,,Shrimp harvested in mangrove polyculture system with organic certification,Vietnam,Mekong Delta,2011-2012,20 farms,,Extensive,,Polyculture,0,,,,,,,,,,,,,,,,,,,,,
138,Aubin-2015-a,Giant tiger prawn,Penaeus monodon,,1 tonne fresh,Extensive pond polyculture,,Shrimp harvested in brackish water extensive pond polyculture system (with crab,,,,,,Extensive,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
140,Medeiros-2017-a,River prawns nei,Macrobrachium spp,,1 kg animal biomass liveweight,Semi-intensive pond,Experimental,Shrimp harvested from semi-intensive monoculture ponds,Sao Paolo,,,,,Semi-intensive,Y,,,,,,,,,,,,,,,,,,,,,,,
141,Aubin-2015-a,Indo-Pacific swamp crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,CajasDeGliniewicz-2016-a,Mediterranean mussel,Mytilus galloprovincialis,,1 kg wet weight,Integrated marine rafts,,Mussels harvested on integrated shellfish farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Lourguioui-2017-a,Mediterranean mussel,Mytilus galloprovincialis,,1 tonne wet weight,Longline,Commercial,Mussels harvested in longline nets and cleaned at the production plant,Algeria,,2014,1 farm,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Ziegler-2013-a,Blue mussel,Mytilus edulis,,1 kg edible yield,Unspecified,,Mussels farmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Aubin-2018-a,Blue mussel,Mytilus edulis,,"1 tonne packed ""ready to cook"" mussels",Bouchot culture,Commercial,Mussels produced in bouchot culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
