Species (ASFIS species),Species (Main grouping),Species (Order),Species (Family),Species (ASFIS species),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment)
Suckermouth catfish,PISCES,SILURIFORMES,LORICARIIDAE,Hypostomus plecostomus,1412808601,All,Freshwater
[Ichthyoelephas humeralis],PISCES,CHARACIFORMES,CURIMATIDAE,Ichthyoelephas humeralis,1381200201,All,Freshwater
Buffalofishes nei,PISCES,CYPRINIFORMES,CATOSTOMIDAE,Ictiobus spp,14001011XX,All,Freshwater
Rhinofishes nei,PISCES,CYPRINIFORMES,CYPRINIDAE,Labeo spp,14002024XX,All,Freshwater
Ningu,PISCES,CYPRINIFORMES,CYPRINIDAE,Labeo victorianus,1400202426,All,Freshwater
Nile perch,PISCES,PERCOIDEI,CENTROPOMIDAE,Lates niloticus,1700116707,All,Brackishwater
Bluegill,PISCES,PERCOIDEI,CENTRARCHIDAE,Lepomis macrochirus,1701001302,All,Marine
Trumpet emperor,PISCES,PERCOIDEI,LETHRINIDAE,Lethrinus miniatus,1703817217,All,Marine
Orfe(=Ide),PISCES,CYPRINIFORMES,CYPRINIDAE,Leuciscus idus,1400202001,All,Freshwater
Chubs nei,PISCES,CYPRINIFORMES,CYPRINIDAE,Leuciscus spp,14002020XX,All,Freshwater
Periwinkles nei,MOLLUSCA,GASTROPODA,LITTORINIDAE,Littorina spp,30701001XX,All,Marine
Thinlip grey mullet,PISCES,MUGILIFORMES,MUGILIDAE,Liza ramada,1650101202,All,Brackishwater
Squaretail mullet,PISCES,MUGILIFORMES,MUGILIDAE,Liza vaigiensis,1650101216,All,Brackishwater
"Snappers, jobfishes nei",PISCES,PERCOIDEI,LUTJANIDAE,Lutjanidae,17032XXXXX,All,Marine
Two-spot red snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus bohar,1703202742,All,Brackishwater
Papuan black snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus goldiei,1703202756,All,Marine
Malabar blood snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus malabaricus,1703202713,All,Marine
Murray cod,PISCES,PERCOIDEI,PERCICHTHYIDAE,Maccullochella peelii,1700817601,All,Freshwater
Golden perch,PISCES,PERCOIDEI,PERCICHTHYIDAE,Macquaria ambigua,1700830102,All,Freshwater
Smooth mactra,MOLLUSCA,BIVALVIA,MACTRIDAE,Mactra glabrata,3161200806,All,Marine
Spinous spider crab,CRUSTACEA,BRACHYURA,MAJIDAE,Maja squinado,2312100501,All,Marine
Tarpon,PISCES,ELOPIFORMES,MEGALOPIDAE,Megalops atlanticus,1290200401,All,Marine
Haddock,PISCES,GADIFORMES,GADIDAE,Melanogrammus aeglefinus,1480401001,All,Marine
Japanese hard clam,MOLLUSCA,BIVALVIA,VENERIDAE,Meretrix lusoria,3161101701,All,Marine
Eastern school shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Metapenaeus macleayi,2280101604,All,Brackishwater
Whitemouth croaker,PISCES,PERCOIDEI,SCIAENIDAE,Micropogonias furnieri,1703703802,All,Brackishwater
Horse mussels nei,MOLLUSCA,BIVALVIA,MYTILIDAE,Modiolus spp,31610028XX,All,Marine
Marine molluscs nei,MOLLUSCA,MOLLUSCA MISCELLANEA,,Mollusca,399XXXXXXX016,All,Brackishwater
"Striped bass, hybrid",PISCES,PERCOIDEI,MORONIDAE,Morone chrysops x M. saxatilis,17006006XX017,All,Marine
Striped bass,PISCES,PERCOIDEI,MORONIDAE,Morone saxatilis,1700600602,All,Brackishwater
Lebranche mullet,PISCES,MUGILIFORMES,MUGILIDAE,Mugil liza,1650100112,All,Brackishwater
So-iuy mullet,PISCES,MUGILIFORMES,MUGILIDAE,Mugil soiuy,1650100128,All,Brackishwater
Daggertooth pike conger,PISCES,ANGUILLIFORMES,MURAENESOCIDAE,Muraenesox cinereus,1430901102,All,Marine
Black grouper,PISCES,PERCOIDEI,SERRANIDAE,Mycteroperca bonaci,1700204001,All,Marine
Sea mussels nei,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilidae,31610XXXXX,All,Brackishwater
Natantian decapods nei,CRUSTACEA,NATANTIA,,Natantia,228XXXXXXX,All,Marine
"Octopuses, etc. nei",MOLLUSCA,CEPHALOPODA,OCTOPODIDAE,Octopodidae,32109XXXXX,All,Marine
Argentinian silverside,PISCES,ATHERINIFORMES,ATHERINIDAE,Odontesthes bonariensis,1630200203,All,Freshwater
Golden trout,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus aguabonita,1230100901,All,Freshwater
Chum(=Keta=Dog) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus keta,1230100903,All,Marine
